filename,source_path,folder,dfs_time,dfs_max_mems,dfs_min_mems,greedy_time,greedy_mems,greedy_path,f_error,g_error,success,mems_equal
generic-swap-1.c,output_true2/generic-swap-1.c,output_true2,2.56026,18,6,4.43163,18,,,,True,True
fibonacci-sequence-4.c,output_true2/fibonacci-sequence-4.c,output_true2,0.215261,2,2,0.42471,2,,,,True,True
executable-library-1.c,output_true2/executable-library-1.c,output_true2,0.51097,3,1,1.19236,3,,,,True,True
here-document.c,output_true2/here-document.c,output_true2,0.0576682,5,5,0.103015,5,,,,True,True
window-creation-3.c,output_true2/window-creation-3.c,output_true2,0.0682994,5,5,0.165855,5,,,,True,True
return-multiple-values-2.c,output_true2/return-multiple-values-2.c,output_true2,0.0544009,10,10,0.171539,10,,,,True,True
longest-string-challenge-1.c,output_true2/longest-string-challenge-1.c,output_true2,0.304971,3,3,0.360678,3,,,,True,True
strip-control-codes-and-extended-characters-from-a-string-1.c,output_true2/strip-control-codes-and-extended-characters-from-a-string-1.c,output_true2,19.5594,1,1,1.3368,1,,,,True,True
terminal-control-positional-read.c,output_true2/terminal-control-positional-read.c,output_true2,0.275202,5,2,0.676564,5,,,,True,True
determine-if-a-string-is-numeric.c,output_true2/determine-if-a-string-is-numeric.c,output_true2,0.661353,8,8,0.467096,8,,,,True,True
distributed-programming-1.c,output_true2/distributed-programming-1.c,output_true2,0.321225,3,0,0.376047,3,,,,True,True
greatest-subsequential-sum.c,output_true2/greatest-subsequential-sum.c,output_true2,1.09395,7,7,0.914572,7,,,,True,True
walk-a-directory-recursively-2.c,output_true2/walk-a-directory-recursively-2.c,output_true2,0.519174,4,2,0.750872,4,,,,True,True
sequence-of-non-squares.c,output_true2/sequence-of-non-squares.c,output_true2,0.707517,27,27,0.99243,27,,,,True,True
a+b-3.c,output_true2/a+b-3.c,output_true2,0.067475,2,2,0.078661,2,,,,True,True
ethiopian-multiplication.c,output_true2/ethiopian-multiplication.c,output_true2,1.10223,32,5,1.13152,32,,,,True,True
tic-tac-toe.c,output_true2/tic-tac-toe.c,output_true2,1.88513,22,12,1.28,22,,,,True,True
call-a-foreign-language-function-1.c,output_true2/call-a-foreign-language-function-1.c,output_true2,0.127271,5,5,0.302239,5,,,,True,True
stern-brocot-sequence-2.c,output_true2/stern-brocot-sequence-2.c,output_true2,0.313426,12,3,0.547008,12,,,,True,True
secure-temporary-file-1.c,output_true2/secure-temporary-file-1.c,output_true2,0.0504132,1,1,0.0541189,1,,,,True,True
leap-year.c,output_true2/leap-year.c,output_true2,0.300029,3,2,0.534614,3,,,,True,True
parse-an-ip-address-2.c,output_true2/parse-an-ip-address-2.c,output_true2,0.0925632,2,2,0.092444,2,,,,True,True
metaprogramming-3.c,output_true2/metaprogramming-3.c,output_true2,0.323444,2,2,0.155174,2,,,,True,True
n-queens-problem-1.c,output_true2/n-queens-problem-1.c,output_true2,8.05729,2,0,2.92595,2,,,,True,True
terminal-control-dimensions-1.c,output_true2/terminal-control-dimensions-1.c,output_true2,0.076854,10,10,0.341131,10,,,,True,True
arithmetic-integer.c,output_true2/arithmetic-integer.c,output_true2,0.0743178,5,5,0.160229,5,,,,True,True
bitmap-read-an-image-through-a-pipe-2.c,output_true2/bitmap-read-an-image-through-a-pipe-2.c,output_true2,0.971015,2,2,0.113252,2,,,,True,True
atomic-updates-1.c,output_true2/atomic-updates-1.c,output_true2,0.526824,7,0,0.676817,7,,,,True,True
terminal-control-dimensions-2.c,output_true2/terminal-control-dimensions-2.c,output_true2,0.14374,6,6,0.18107,6,,,,True,True
scope-modifiers-1.c,output_true2/scope-modifiers-1.c,output_true2,0.0699404,2,2,0.0785351,2,,,,True,True
ordered-words-1.c,output_true2/ordered-words-1.c,output_true2,0.676092,4,1,0.882204,4,,,,True,True
read-entire-file-1.c,output_true2/read-entire-file-1.c,output_true2,1.86276,2,2,0.129646,2,,,,True,True
terminal-control-ringing-the-terminal-bell.c,output_true2/terminal-control-ringing-the-terminal-bell.c,output_true2,0.0576377,1,1,0.0542105,1,,,,True,True
sum-and-product-of-an-array.c,output_true2/sum-and-product-of-an-array.c,output_true2,0.250663,7,7,0.54672,7,,,,True,True
pascals-triangle-puzzle-1.c,output_true2/pascals-triangle-puzzle-1.c,output_true2,0.188359,13,7,0.541917,13,,,,True,True
truncate-a-file-2.c,output_true2/truncate-a-file-2.c,output_true2,0.0627818,3,3,0.124521,3,,,,True,True
image-noise-2.c,output_true2/image-noise-2.c,output_true2,1.32593,1,1,1.15767,1,,,,True,True
sorting-algorithms-stooge-sort.c,output_true2/sorting-algorithms-stooge-sort.c,output_true2,0.224929,12,2,0.386483,12,,,,True,True
continued-fraction.c,output_true2/continued-fraction.c,output_true2,0.347593,6,6,1.07757,6,,,,True,True
gui-enabling-disabling-of-controls-3.c,output_true2/gui-enabling-disabling-of-controls-3.c,output_true2,1.54151,5,5,1.14857,5,,,,True,True
sokoban.c,output_true2/sokoban.c,output_true2,4.59617,10,1,2.89191,10,,,,True,True
short-circuit-evaluation.c,output_true2/short-circuit-evaluation.c,output_true2,0.0520934,1,1,0.0385522,1,,,,True,True
penneys-game.c,output_true2/penneys-game.c,output_true2,0.702142,22,4,1.06186,22,,,,True,True
pointers-and-references-9.c,output_true2/pointers-and-references-9.c,output_true2,0.069206,8,8,0.0946929,8,,,,True,True
function-definition-1.c,output_true2/function-definition-1.c,output_true2,0.0564061,3,3,0.0584014,3,,,,True,True
pointers-and-references-2.c,output_true2/pointers-and-references-2.c,output_true2,0.0569968,1,1,0.0671685,1,,,,True,True
first-class-functions-2.c,output_true2/first-class-functions-2.c,output_true2,0.0790764,3,3,0.146436,3,,,,True,True
harshad-or-niven-series.c,output_true2/harshad-or-niven-series.c,output_true2,0.252285,2,2,0.402735,2,,,,True,True
permutation-test-2.c,output_true2/permutation-test-2.c,output_true2,0.0702577,6,6,0.107466,6,,,,True,True
arithmetic-geometric-mean-1.c,output_true2/arithmetic-geometric-mean-1.c,output_true2,20.5719,14,5,1.25491,14,,,,True,True
program-termination-1.c,output_true2/program-termination-1.c,output_true2,0.178441,1,1,0.120371,1,,,,True,True
