problem_id,status,branches,candidate_paths,validated_candidates,minimum_tests,eppather_predicted_edges,eppather_predicted_coverage,eppather_covered_edges,eppather_coverage,official_tests,official_covered_edges,official_coverage,coverage_prediction_correct,path_replay_matches,detail
0100,not_applicable,,,,,,,,,,,,,,"cnip model.c:33:1 error: expected expression got `}'

 ^
model.c:37:2 error: expected `}', got `EOF'
}
  ^

cnip: /home/zhangliwei/eppather/epat++/libz3/z3-4.12.2-x64-glibc-2.31/include/z3++.h:1858: z3::expr z3::operator-(const z3::expr&, const z3::expr&): Assertion `false' failed.
 | scanf arity | cnip DFS2 is ready to dump ~
Path:int input[64];

feasible!!!
[mem]:0
"
0103,not_applicable,,,,,,,,,,,,,,unsupported scanf format | unsupported scanf format | unsupported scanf format
0276,ok,2,1,1,1,4,100.0,4,100.0,8,4,100.0,True,1,
0335,ok,0,1,1,0,0,100,0,100,7,0,100,True,1,
0512,not_applicable,,,,,,,,,,,,,,non-integer input API | unsupported scanf format | unsupported scanf format
0521,not_applicable,,,,,,,,,,,,,,"scanf arity | cnip equals!!!!!input[0]!!!!
equals!!!!!0!!!!
equals!!!!!a!!!!
equals!!!!!1000-a!!!!
equals!!!!!0!!!!
equals!!!!!6!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!coin[i]!!!!
equals!!!!!coin[i]!!!!
equals!!!!!1!!!!
equals!!!!!c + 1!!!!
DFS2 is ready to dump ~
 | no plain int main"
0522,not_applicable,,,,,,,,,,,,,,unsupported scanf format | unsupported scanf format | unsupported scanf format
0532,ok,2,1,1,1,4,100.0,4,100.0,5,4,100.0,True,1,
0554,ok,1,1,1,1,2,100.0,2,100.0,5,2,100.0,True,1,
0592,not_applicable,,,,,,,,,,,,,,"cnip equals!!!!!0!!!!
equals!!!!!5!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!input[0]!!!!
equals!!!!!40!!!!
equals!!!!!40!!!!
equals!!!!!a[i]!!!!
equals!!!!!sum + a[i]!!!!
equals!!!!!5!!!!
equals!!!!!sum / 5!!!!
DFS2 is ready to dump ~
[DFS TIME COST]: 0.162987 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
 | cnip equals!!!!!0!!!!
equals!!!!!5!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!input[0]!!!!
equals!!!!!40!!!!
equals!!!!!40!!!!
DFS2 is ready to dump ~
[DFS TIME COST]: 0.142646 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
 | cnip equals!!!!!0!!!!
equals!!!!!5!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!input[0]!!!!
equals!!!!!40!!!!
equals!!!!!40!!!!
equals!!!!!0!!!!
equals!!!!!5!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!p[j]!!!!
equals!!!!!5!!!!
equals!!!!!ap / 5!!!!
DFS2 is ready to dump ~
[DFS TIME COST]: 0.141142 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
"
1129,not_applicable,,,,,,,,,,,,,,"scanf arity | no plain int main | cnip !
equals!!!!!r!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!0!!!!
equals!!!!!n!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!a[j]!!!!
equals!!!!!input[2]!!!!
equals!!!!!input[3]!!!!
equals!!!!!0!!!!
equals!!!!!c!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!1!!!!
equals!!!!!j!!!!
equals!!!!!b[p-1+j]!!!!
equals!!!!!c!!!!
equals!!!!!p!!!!
equals!!!!!1!!!!
equals!!!!!c+p-1!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!c!!!!
equals!!!!!b[j-c]!!!!
DFS2 is ready to dump ~
"
1130,not_applicable,,,,,,,,,,,,,,scanf arity | no plain int main | scanf arity
1141,not_applicable,,,,,,,,,,,,,,no plain int main | helper/external calls: judge | no feasible paths
1159,not_applicable,,,,,,,,,,,,,,scanf arity | no plain int main | scanf arity
1160,not_applicable,,,,,,,,,,,,,,complex scanf target | complex scanf target | scanf arity
1186,ok,6,1,1,1,2,16.666666666666668,2,16.666666666666668,2,11,91.66666666666667,True,1,
1192,not_applicable,,,,,,,,,,,,,,"non-integer input API | compile                                                                                           ^
/tmp/tmpuh6m4zjd/model_run.c: In function ‘main’:
/tmp/tmpuh6m4zjd/model_run.c:19:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   19 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | scanf arity"
2000,not_applicable,,,,,,,,,,,,,,scanf arity | scanf arity | scanf arity
2197,not_applicable,,,,,,,,,,,,,,no plain int main | no plain int main | no plain int main
ALDS1_10_B,not_applicable,,,,,,,,,,,,,,"cnip -1]*M[k]*M[j]!!!!
equals!!!!!(MM[i][k]+MM[k+1][j]+M[i-1]*M[k]*M[j])!!!!
equals!!!!!q!!!!
equals!!!!!q!!!!
DFS2 is ready to dump ~
Error: unsupported type for sort: int [102], file: /home/zhangliwei/eppather/epat++/libepat++/src/smt_expr.cpp, line: 53

Error: unsupported type for sort: int [102], file: /home/zhangliwei/eppather/epat++/libepat++/src/smt_expr.cpp, line: 53

[DFS TIME COST]: 0.0572712 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
 | cnip  M[j]!!!!
equals!!!!!key[i][k] + key[k+1][j] + M[i-1] * M[k] * M[j]!!!!
equals!!!!!q!!!!
equals!!!!!q!!!!
DFS2 is ready to dump ~
Error: unsupported type for sort: int [102], file: /home/zhangliwei/eppather/epat++/libepat++/src/smt_expr.cpp, line: 53

Error: unsupported type for sort: int [102], file: /home/zhangliwei/eppather/epat++/libepat++/src/smt_expr.cpp, line: 53

[DFS TIME COST]: 0.0579188 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
 | complex scanf target"
ALDS1_10_C,not_applicable,,,,,,,,,,,,,,unsupported scanf format | unsupported scanf format | unsupported scanf format
ALDS1_11_A,ok,5,1,1,1,10,100.0,10,100.0,8,10,100.0,True,1,
ALDS1_11_B,not_applicable,,,,,,,,,,,,,,helper/external calls: deepFirstSearch | helper/external calls: visit | helper/external calls: visit
ALDS1_11_C,not_applicable,,,,,,,,,,,,,,scanf arity | complex scanf target | complex scanf target
ALDS1_11_D,not_applicable,,,,,,,,,,,,,,no feasible paths | helper/external calls: dfs | helper/external calls: setID
ALDS1_12_A,not_applicable,,,,,,,,,,,,,,complex scanf target | complex scanf target | complex scanf target
ALDS1_12_B,not_applicable,,,,,,,,,,,,,,"cnip ii][i]+d[ii]!!!!
equals!!!!!1!!!!
equals!!!!!0!!!!
equals!!!!!n!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
DFS2 is ready to dump ~
Error: unsupported type for sort: int [101], file: /home/zhangliwei/eppather/epat++/libepat++/src/smt_expr.cpp, line: 53

Error: unsupported type for sort: int [101], file: /home/zhangliwei/eppather/epat++/libepat++/src/smt_expr.cpp, line: 53

[DFS TIME COST]: 0.0256554 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
 | complex scanf target | helper/external calls: mostmin"
ALDS1_13_A,not_applicable,,,,,,,,,,,,,,helper/external calls: check | helper/external calls: dfs | helper/external calls: check
ALDS1_13_B,not_applicable,,,,,,,,,,,,,,complex scanf target | complex scanf target | complex scanf target
ALDS1_13_C,not_applicable,,,,,,,,,,,,,,helper/external calls: f | helper/external calls: f | complex scanf target
ALDS1_1_A,not_applicable,,,,,,,,,,,,,,"compile expected expression before ‘else’
   31 |                 else
      |                 ^~~~
/tmp/tmp6xeq0h02/model_run.c: In function ‘main’:
/tmp/tmp6xeq0h02/model_run.c:39:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   39 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | compile run.c:45:9: error: expected expression before ‘}’ token
   45 |         }
      |         ^
/tmp/tmp6shjtu_d/model_run.c: In function ‘main’:
/tmp/tmp6shjtu_d/model_run.c:53:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   53 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | helper/external calls: print"
ALDS1_1_C,not_applicable,,,,,,,,,,,,,,Command '['/tmp/tmp9b8h1x1v/original_run']' timed out after 5 seconds | helper/external calls: is_prime | helper/external calls: isPrime
ALDS1_1_D,not_applicable,,,,,,,,,,,,,,array bound exceeds 4096 | helper/external calls: calc_Max_difference | array bound exceeds 4096
ALDS1_2_A,not_applicable,,,,,,,,,,,,,,"compile vptdn/model_run.c:24:3: error: expected expression before ‘}’ token
   24 |   }
      |   ^
/tmp/tmpi5bvptdn/model_run.c: In function ‘main’:
/tmp/tmpi5bvptdn/model_run.c:30:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   30 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | helper/external calls: swap | Command '['/home/runner/work/eppather/eppather/cnip', '-q', '--maxloop', '2', '--maxpaths', '80', '/tmp/tmpz_hrpzf7/model.c']' timed out after 45 seconds"
ALDS1_2_B,not_applicable,,,,,,,,,,,,,,"cnip ut[1];@(i < N);
i = i + 1;
A[i] = input[1];@(!(i < N));
@(!(i < N));
@(!(i < N));
return 0;
feasible!!!
[mem]:5
[averagemem]:0
[testcase]:
int input[0] = 2

warning: a declaration with the name ""i"" already exists!
warning: a declaration with the name ""i"" already exists!
Path:int input[64];
int N;
int A[100];
int count = 0;
N = input[0];int i = 0;
@(i < N);
i = i + 1;
A[i] = input[1];@(!(i < N));
@(!(i < N));
@(!(i < N));
return 0;
feasible!!!
[mem]:3
[averagemem]:0
[testcase]:
int input[0] = 1

 | compile 31lp9/model_run.c:26:3: error: expected expression before ‘}’ token
   26 |   }
      |   ^
/tmp/tmpdxh31lp9/model_run.c: In function ‘main’:
/tmp/tmpdxh31lp9/model_run.c:32:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   32 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | helper/external calls: swap"
ALDS1_3_A,not_applicable,,,,,,,,,,,,,,unsupported scanf format | unsupported scanf format | unsupported scanf format
ALDS1_3_D,not_applicable,,,,,,,,,,,,,,unsupported scanf format | unsupported scanf format | non-integer input API
ALDS1_4_A,not_applicable,,,,,,,,,,,,,,array bound exceeds 4096 | array bound exceeds 4096 | complex scanf target
ALDS1_4_D,not_applicable,,,,,,,,,,,,,,helper/external calls: F | complex scanf target | complex scanf target
ALDS1_5_A,not_applicable,,,,,,,,,,,,,,helper/external calls: dfs | helper/external calls: solve | helper/external calls: dfs
ALDS1_7_D,not_applicable,,,,,,,,,,,,,,helper/external calls: creat | no plain int main | helper/external calls: Rec
ALDS1_9_A,not_applicable,,,,,,,,,,,,,,no plain int main | complex scanf target | complex scanf target
DPL_1_A,not_applicable,,,,,,,,,,,,,,helper/external calls: min | no feasible paths | array bound exceeds 4096
INFO1_04_C,ok,0,1,1,0,0,100,0,100,8,0,100,True,1,
INFO1_04_F,ok,1,1,1,1,2,100.0,2,100.0,8,2,100.0,True,1,
INFO1_04_G,ok,0,1,1,0,0,100,0,100,10,0,100,True,1,
INFO1_04_H,ok,0,1,1,0,0,100,0,100,10,0,100,True,1,
INFO1_04_I,ok,0,1,1,0,0,100,0,100,10,0,100,True,1,
ITP1_11_A,not_applicable,,,,,,,,,,,,,,complex scanf target | unsupported scanf format | unsupported scanf format
ITP1_11_B,not_applicable,,,,,,,,,,,,,,"complex scanf target | scanf arity | helper/external calls: IF,UF,input,output,reset,strlen"
ITP1_11_C,not_applicable,,,,,,,,,,,,,,"complex scanf target | helper/external calls: IF,UF,input,output,strlen | helper/external calls: match"
ITP1_11_D,not_applicable,,,,,,,,,,,,,,"scanf arity | helper/external calls: IF,UF,input,output,strlen | complex scanf target"
ITP1_1_B,ok,0,1,1,0,0,100,0,100,4,0,100,True,1,
ITP1_1_C,ok,0,1,1,0,0,100,0,100,2,0,100,True,1,
ITP1_1_D,ok,0,1,1,0,0,100,0,100,10,0,100,True,1,
ITP1_2_C,ok,3,2,2,1,5,83.33333333333333,5,83.33333333333333,5,6,100.0,True,2,
ITP1_3_C,not_applicable,,,,,,,,,,,,,,"helper/external calls: swap | Command '['/home/runner/work/eppather/eppather/cnip', '-q', '--maxloop', '2', '--maxpaths', '80', '/tmp/tmp8ejipxao/model.c']' timed out after 45 seconds | no feasible paths"
ITP1_4_D,not_applicable,,,,,,,,,,,,,,array bound exceeds 4096 | array bound exceeds 4096 | array bound exceeds 4096
ITP1_5_A,not_applicable,,,,,,,,,,,,,,"Command '['/tmp/tmp_y2y6k3i/model_run', '1073741824', '4']' timed out after 5 seconds | no feasible paths | array bound exceeds 4096"
ITP1_5_B,not_applicable,,,,,,,,,,,,,,"compile  error: expected expression before ‘else’
   15 |             else
      |             ^~~~
/tmp/tmp074454pv/model_run.c: In function ‘main’:
/tmp/tmp074454pv/model_run.c:25:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   25 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | compile expected expression before ‘else’
   14 |                 else
      |                 ^~~~
/tmp/tmptbctv85w/model_run.c: In function ‘main’:
/tmp/tmptbctv85w/model_run.c:25:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   25 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | Command '['/tmp/tmphpdzqsd_/model_run', '2', '2']' timed out after 5 seconds"
ITP1_5_C,not_applicable,,,,,,,,,,,,,,"Command '['/tmp/tmp4ivp1a40/model_run', '1073741824', '4']' timed out after 5 seconds | compile expected expression before ‘else’
   19 |                 else
      |                 ^~~~
/tmp/tmpavy8syhe/model_run.c: In function ‘main’:
/tmp/tmpavy8syhe/model_run.c:32:90: warning: implicit declaration of function ‘atoi’ [-Wimplicit-function-declaration]
   32 | int main(int argc,char**argv){int input[64]={0};for(int i=1;i<argc&&i<=64;i++)input[i-1]=atoi(argv[i]);return epp_model(input);}
      |                                                                                          ^~~~
 | array bound exceeds 4096"
ITP1_6_A,not_applicable,,,,,,,,,,,,,,"compile : in definition of macro ‘EPP_TRACE’
    4 | #define EPP_TRACE(id,expr) epp_trace((id),(expr))
      |                                            ^~~~
/tmp/tmpmwsofxxw/original_run.c:4:43: note: to match this ‘(’
    4 | #define EPP_TRACE(id,expr) epp_trace((id),(expr))
      |                                           ^
/tmp/tmpmwsofxxw/original_run.c:19:13: note: in expansion of macro ‘EPP_TRACE’
   19 |         if (EPP_TRACE(1, (n >= 1) printf(""%d"", a[n - 1])));
      |             ^~~~~~~~~
 | scanf arity | array bound exceeds 4096"
ITP1_6_C,not_applicable,,,,,,,,,,,,,,"cnip model.c:23:2 error: expected expression got `}'
  }
  ^
model.c:28:2 error: expected `}', got `EOF'
}
  ^

 | scanf arity | cnip model.c:21:9 error: expected expression got `}'
if(i!=3)
         ^
model.c:25:2 error: expected `}', got `EOF'
}
  ^

"
ITP1_6_D,not_applicable,,,,,,,,,,,,,,"complex scanf target | complex scanf target | cnip !!j + 1!!!!
equals!!!!!input[3]!!!!
equals!!!!!b!!!!
equals!!!!!0!!!!
equals!!!!!n!!!!
equals!!!!!1!!!!
equals!!!!!j + 1!!!!
equals!!!!!0!!!!
equals!!!!!m!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
equals!!!!!B[i]!!!!
equals!!!!!A[j][i]*B[i]!!!!
equals!!!!!c[j] + A[j][i]*B[i]!!!!
equals!!!!!0!!!!
equals!!!!!n!!!!
equals!!!!!1!!!!
equals!!!!!i + 1!!!!
DFS2 is ready to dump ~
[DFS TIME COST]: 1.44038 seconds
[FEASIBLE PATHS]:
  (none)
[MATRIX]:
[DFS MAX MEMS]: -1
[DFS MIN MEMS]: 0
[matrix_before]:
"
ITP1_7_A,ok,9,1,1,1,3,16.666666666666668,3,16.666666666666668,4,17,94.44444444444444,True,1,
ITP1_7_C,not_applicable,,,,,,,,,,,,,,complex scanf target | complex scanf target | scanf arity
ITP1_8_A,not_applicable,,,,,,,,,,,,,,unsupported scanf format | unsupported scanf format | non-integer input API
ITP1_8_B,not_applicable,,,,,,,,,,,,,,unsupported scanf format | unsupported scanf format | unsupported scanf format
ITP1_8_C,not_applicable,,,,,,,,,,,,,,unsupported scanf format | non-integer input API | unsupported scanf format
ITP1_9_B,not_applicable,,,,,,,,,,,,,,scanf arity | unsupported scanf format | unsupported scanf format
ITP1_9_C,not_applicable,,,,,,,,,,,,,,unsupported scanf format | unsupported scanf format | scanf arity
ITP1_9_D,not_applicable,,,,,,,,,,,,,,scanf arity | unsupported scanf format | scanf arity
