subject,source,input_kind,domain_label,lower,upper,maxloop,maxpaths,compile_status,run_status,elapsed_seconds,path_count,solution_space_count,weighted_mems_sum,weighted_average_mems,dfs_max_mems,path_limit_hit,zero_diagnostic,average_to_max_ratio
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d1,-1,1,2,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d1,-1,1,3,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d1,-1,1,5,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d1,-1,1,8,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d1,-1,1,10,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d3,-3,3,1,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d3,-3,3,2,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d3,-3,3,3,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d3,-3,3,5,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d3,-3,3,8,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
inih,testcase/_eppather_preprocessed/inih/slices/inih_ini_flat__ini_rstrip__auto_compat.c,auto_compat_function_slice,d3,-3,3,10,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d1,-1,1,1,80,PASS,PASS,0,4,9,6,0.666667,1,NO,NONZERO_OR_ZERO_COST,0.66666700
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d1,-1,1,2,80,PASS,PASS,0,4,9,6,0.666667,1,NO,NONZERO_OR_ZERO_COST,0.66666700
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d1,-1,1,3,80,PASS,PASS,0,4,9,6,0.666667,1,NO,NONZERO_OR_ZERO_COST,0.66666700
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d1,-1,1,5,80,PASS,PASS,0,4,9,6,0.666667,1,NO,NONZERO_OR_ZERO_COST,0.66666700
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d1,-1,1,8,80,PASS,PASS,0,4,9,6,0.666667,1,NO,NONZERO_OR_ZERO_COST,0.66666700
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d1,-1,1,10,80,PASS,PASS,0,4,9,6,0.666667,1,NO,NONZERO_OR_ZERO_COST,0.66666700
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d3,-3,3,1,80,PASS,PASS,1,4,49,42,0.857143,1,NO,NONZERO_OR_ZERO_COST,0.85714300
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d3,-3,3,2,80,PASS,PASS,0,4,49,42,0.857143,1,NO,NONZERO_OR_ZERO_COST,0.85714300
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d3,-3,3,3,80,PASS,PASS,0,4,49,42,0.857143,1,NO,NONZERO_OR_ZERO_COST,0.85714300
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d3,-3,3,5,80,PASS,PASS,0,4,49,42,0.857143,1,NO,NONZERO_OR_ZERO_COST,0.85714300
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d3,-3,3,8,80,PASS,PASS,0,4,49,42,0.857143,1,NO,NONZERO_OR_ZERO_COST,0.85714300
clibs-list,testcase/_eppather_preprocessed/list/slices/list_list_flat__list_at__auto_compat.c,auto_compat_function_slice,d3,-3,3,10,80,PASS,PASS,0,4,49,42,0.857143,1,NO,NONZERO_OR_ZERO_COST,0.85714300
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d1,-1,1,1,80,PASS,PASS,1,4,13,216,16.6154,21,NO,NONZERO_OR_ZERO_COST,0.79120952
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d1,-1,1,2,80,PASS,PASS,2,6,13,216,16.6154,28,NO,NONZERO_OR_ZERO_COST,0.59340714
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d1,-1,1,3,80,PASS,PASS,25,8,13,216,16.6154,35,NO,NONZERO_OR_ZERO_COST,0.47472571
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d1,-1,1,5,80,PASS,PASS,24,8,13,216,16.6154,35,NO,NONZERO_OR_ZERO_COST,0.47472571
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d1,-1,1,8,80,PASS,PASS,24,8,13,216,16.6154,35,NO,NONZERO_OR_ZERO_COST,0.47472571
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d1,-1,1,10,80,PASS,PASS,24,8,13,216,16.6154,35,NO,NONZERO_OR_ZERO_COST,0.47472571
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d3,-3,3,1,80,PASS,PASS,1,4,163,2962,18.1718,21,NO,NONZERO_OR_ZERO_COST,0.86532381
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d3,-3,3,2,80,PASS,PASS,3,6,195,3816,19.5692,28,NO,NONZERO_OR_ZERO_COST,0.69890000
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d3,-3,3,3,80,PASS,PASS,26,8,204,4116,20.1765,35,NO,NONZERO_OR_ZERO_COST,0.57647143
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d3,-3,3,5,80,PASS,PASS,27,8,204,4116,20.1765,35,NO,NONZERO_OR_ZERO_COST,0.57647143
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d3,-3,3,8,80,PASS,PASS,26,8,204,4116,20.1765,35,NO,NONZERO_OR_ZERO_COST,0.57647143
Lua,testcase/llm_summaries/lua_zread_summary.c,normalized_large-project_summary,d3,-3,3,10,80,PASS,PASS,27,8,204,4116,20.1765,35,NO,NONZERO_OR_ZERO_COST,0.57647143
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d1,-1,1,1,80,PASS,PASS,1,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d1,-1,1,2,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d1,-1,1,3,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d1,-1,1,5,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d1,-1,1,8,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d1,-1,1,10,80,PASS,PASS,0,4,9,12,1.33333,2,NO,NONZERO_OR_ZERO_COST,0.66666500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d3,-3,3,1,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d3,-3,3,2,80,PASS,PASS,1,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d3,-3,3,3,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d3,-3,3,5,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d3,-3,3,8,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
sds,testcase/_eppather_preprocessed/sds/slices/sds_sds_flat__sdscmp__auto_compat.c,auto_compat_function_slice,d3,-3,3,10,80,PASS,PASS,0,4,49,84,1.71429,2,NO,NONZERO_OR_ZERO_COST,0.85714500
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d1,-1,1,1,80,PASS,PASS,0,2,3,54,18,20,NO,NONZERO_OR_ZERO_COST,0.90000000
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d1,-1,1,2,80,PASS,PASS,0,3,7,138,19.7143,21,NO,NONZERO_OR_ZERO_COST,0.93877619
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d1,-1,1,3,80,PASS,PASS,1,4,15,314,20.9333,22,NO,NONZERO_OR_ZERO_COST,0.95151364
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d1,-1,1,5,80,PASS,PASS,0,4,15,314,20.9333,22,NO,NONZERO_OR_ZERO_COST,0.95151364
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d1,-1,1,8,80,PASS,PASS,1,4,15,314,20.9333,22,NO,NONZERO_OR_ZERO_COST,0.95151364
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d1,-1,1,10,80,PASS,PASS,0,4,15,314,20.9333,22,NO,NONZERO_OR_ZERO_COST,0.95151364
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d3,-3,3,1,80,PASS,PASS,0,2,7,134,19.1429,20,NO,NONZERO_OR_ZERO_COST,0.95714500
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d3,-3,3,2,80,PASS,PASS,0,3,43,890,20.6977,21,NO,NONZERO_OR_ZERO_COST,0.98560476
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d3,-3,3,3,80,PASS,PASS,0,4,259,5642,21.7838,22,NO,NONZERO_OR_ZERO_COST,0.99017273
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d3,-3,3,5,80,PASS,PASS,1,4,259,5642,21.7838,22,NO,NONZERO_OR_ZERO_COST,0.99017273
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d3,-3,3,8,80,PASS,PASS,0,4,259,5642,21.7838,22,NO,NONZERO_OR_ZERO_COST,0.99017273
tinyexpr,testcase/llm_summaries/tinyexpr_interp_summary.c,normalized_large-project_summary,d3,-3,3,10,80,PASS,PASS,0,4,259,5642,21.7838,22,NO,NONZERO_OR_ZERO_COST,0.99017273
